success,precision,recall,f1,tp,fp,fn,predicted_entities,gt_entities,fp_entities,fn_entities,elapsed_time
True,1.0,0.8333333333333334,0.9090909090909091,5.0,0,1,"[{'text': 'cv.editor@riseup.net', 'type': 'EMAIL', 'start_pos': 41, 'end_pos': 61}, {'text': 'bc1qt5vmgkz06c4q6z3trw8gkfj0y7n07gq5kzm68d', 'type': 'BTC', 'start_pos': 179, 'end_pos': 221}, {'text': 'Anna', 'type': 'PERSON', 'start_pos': 232, 'end_pos': 236}, {'text': 'Marcellus', 'type': 'PERSON', 'start_pos': 290, 'end_pos': 299}, {'text': 'bc1qxy2kgdygjrsqtzq2n0yrf2493p83kkfjhx0wlh', 'type': 'BTC', 'start_pos': 409, 'end_pos': 451}]","[{'startOffset': 41, 'endOffset': 61, 'type': 'EMAIL', 'text': 'cv.editor@riseup.net'}, {'startOffset': 179, 'endOffset': 221, 'type': 'BTC', 'text': 'bc1qt5vmgkz06c4q6z3trw8gkfj0y7n07gq5kzm68d'}, {'startOffset': 232, 'endOffset': 238, 'type': 'PERSON', 'text': 'Anna'}, {'startOffset': 269, 'endOffset': 273, 'type': 'PERSON', 'text': 'Anna'}, {'startOffset': 290, 'endOffset': 299, 'type': 'PERSON', 'text': 'Marcellus'}, {'startOffset': 409, 'endOffset': 451, 'type': 'BTC', 'text': 'bc1qxy2kgdygjrsqtzq2n0yrf2493p83kkfjhx0wlh'}]",[],"[{'startOffset': 269, 'endOffset': 273, 'type': 'PERSON', 'text': 'Anna'}]",422.422889
True,1.0,0.6666666666666666,0.8,4.0,0,2,"[{'text': 'Catalina', 'type': 'PERSON', 'start_pos': 0, 'end_pos': 8}, {'text': 'c.varga@journalisttruth.org', 'type': 'EMAIL', 'start_pos': 35, 'end_pos': 62}, {'text': 'cv.editor@riseup.net', 'type': 'EMAIL', 'start_pos': 63, 'end_pos': 83}, {'text': 'Anna', 'type': 'PERSON', 'start_pos': 84, 'end_pos': 88}]","[{'startOffset': 0, 'endOffset': 8, 'type': 'PERSON', 'text': 'Catalina'}, {'startOffset': 35, 'endOffset': 62, 'type': 'EMAIL', 'text': 'c.varga@journalisttruth.org'}, {'startOffset': 63, 'endOffset': 83, 'type': 'EMAIL', 'text': 'cv.editor@riseup.net'}, {'startOffset': 84, 'endOffset': 88, 'type': 'PERSON', 'text': 'Anna'}, {'startOffset': 144, 'endOffset': 150, 'type': 'LOCATION', 'text': 'Prague'}, {'startOffset': 164, 'endOffset': 169, 'type': 'PERSON', 'text': 'Varga'}]",[],"[{'startOffset': 144, 'endOffset': 150, 'type': 'LOCATION', 'text': 'Prague'}, {'startOffset': 164, 'endOffset': 169, 'type': 'PERSON', 'text': 'Varga'}]",265.421686
True,1.0,1.0,1.0,4.0,0,0,"[{'text': 'Anna', 'type': 'PERSON', 'start_pos': 49, 'end_pos': 53}, {'text': 'Anna', 'type': 'PERSON', 'start_pos': 49, 'end_pos': 53}, {'text': 'bc1q2gdf0hxk6e5nxp72cr9sv5uwx9a0gz0h3p9a4f', 'type': 'BTC', 'start_pos': 371, 'end_pos': 413}, {'text': 'Marcellus', 'type': 'PERSON', 'start_pos': 435, 'end_pos': 444}]","[{'startOffset': 49, 'endOffset': 53, 'type': 'PERSON', 'text': 'Anna'}, {'startOffset': 289, 'endOffset': 293, 'type': 'PERSON', 'text': 'Anna'}, {'startOffset': 371, 'endOffset': 413, 'type': 'BTC', 'text': 'bc1q2gdf0hxk6e5nxp72cr9sv5uwx9a0gz0h3p9a4f'}, {'startOffset': 435, 'endOffset': 444, 'type': 'PERSON', 'text': 'Marcellus'}]",[],[],344.307272
True,0.8888888888888888,0.8,0.8421052631578948,8.0,1,2,"[{'text': 'Catalina', 'type': 'PERSON', 'start_pos': 34, 'end_pos': 42}, {'text': 'Seychelles', 'type': 'LOCATION', 'start_pos': 192, 'end_pos': 202}, {'text': 'contact@unitedchange.org', 'type': 'EMAIL', 'start_pos': 430, 'end_pos': 454}, {'text': 'lance.morenopolitical@gmail.com', 'type': 'EMAIL', 'start_pos': 477, 'end_pos': 508}, {'text': ""Catalina's"", 'type': 'PERSON', 'start_pos': 587, 'end_pos': 597}, {'text': 'Lance Moreno', 'type': 'PERSON', 'start_pos': 669, 'end_pos': 681}, {'text': 'Catalina', 'type': 'PERSON', 'start_pos': 34, 'end_pos': 42}, {'text': 'Anna', 'type': 'PERSON', 'start_pos': 343, 'end_pos': 347}, {'text': 'Marcellus', 'type': 'PERSON', 'start_pos': 802, 'end_pos': 811}]","[{'startOffset': 33, 'endOffset': 41, 'type': 'PERSON', 'text': 'Catalina'}, {'startOffset': 191, 'endOffset': 201, 'type': 'LOCATION', 'text': 'Seychelles'}, {'startOffset': 342, 'endOffset': 346, 'type': 'PERSON', 'text': 'Anna'}, {'startOffset': 422, 'endOffset': 446, 'type': 'EMAIL', 'text': 'contact@unitedchange.org'}, {'startOffset': 469, 'endOffset': 500, 'type': 'EMAIL', 'text': 'lance.morenopolitical@gmail.com'}, {'startOffset': 579, 'endOffset': 587, 'type': 'PERSON', 'text': 'Catalina'}, {'startOffset': 661, 'endOffset': 673, 'type': 'PERSON', 'text': 'Lance Moreno'}, {'startOffset': 752, 'endOffset': 760, 'type': 'PERSON', 'text': 'Catalina'}, {'startOffset': 778, 'endOffset': 782, 'type': 'PERSON', 'text': 'Anna'}, {'startOffset': 793, 'endOffset': 802, 'type': 'PERSON', 'text': 'Marcellus'}]","[{'text': ""Catalina's"", 'type': 'PERSON', 'start_pos': 587, 'end_pos': 597}]","[{'startOffset': 752, 'endOffset': 760, 'type': 'PERSON', 'text': 'Catalina'}, {'startOffset': 778, 'endOffset': 782, 'type': 'PERSON', 'text': 'Anna'}]",474.69426
True,1.0,1.0,1.0,5.0,0,0,"[{'text': 'Catalina', 'type': 'PERSON', 'start_pos': 132, 'end_pos': 140}, {'text': 'Marcellus', 'type': 'PERSON', 'start_pos': 252, 'end_pos': 261}, {'text': 'Anna', 'type': 'PERSON', 'start_pos': 266, 'end_pos': 270}, {'text': 'Anna', 'type': 'PERSON', 'start_pos': 266, 'end_pos': 270}, {'text': 'm.grant512@tuta.io', 'type': 'EMAIL', 'start_pos': 451, 'end_pos': 469}]","[{'startOffset': 132, 'endOffset': 140, 'type': 'PERSON', 'text': 'Catalina'}, {'startOffset': 252, 'endOffset': 261, 'type': 'PERSON', 'text': 'Marcellus'}, {'startOffset': 266, 'endOffset': 270, 'type': 'PERSON', 'text': 'Anna'}, {'startOffset': 431, 'endOffset': 435, 'type': 'PERSON', 'text': 'Anna'}, {'startOffset': 451, 'endOffset': 469, 'type': 'EMAIL', 'text': 'm.grant512@tuta.io'}]",[],[],468.435646
True,0.8888888888888888,1.0,0.9411764705882353,8.0,1,0,"[{'text': 'm.grant512@tuta.io', 'type': 'EMAIL', 'start_pos': 6, 'end_pos': 24}, {'text': 'ahargrove92@pm.me', 'type': 'EMAIL', 'start_pos': 29, 'end_pos': 46}, {'text': 'Catalina Varga', 'type': 'PERSON', 'start_pos': 103, 'end_pos': 117}, {'text': 'Bucharest', 'type': 'LOCATION', 'start_pos': 92, 'end_pos': 101}, {'text': 'Europe', 'type': 'LOCATION', 'start_pos': 235, 'end_pos': 241}, {'text': 'Anna', 'type': 'PERSON', 'start_pos': 295, 'end_pos': 299}, {'text': 'Catalina Varga', 'type': 'PERSON', 'start_pos': 103, 'end_pos': 117}, {'text': 'She', 'type': 'PERSON', 'start_pos': 119, 'end_pos': 122}, {'text': 'Eastern Europe', 'type': 'LOCATION', 'start_pos': 429, 'end_pos': 443}]","[{'startOffset': 6, 'endOffset': 24, 'type': 'EMAIL', 'text': 'm.grant512@tuta.io'}, {'startOffset': 29, 'endOffset': 46, 'type': 'EMAIL', 'text': 'ahargrove92@pm.me'}, {'startOffset': 92, 'endOffset': 101, 'type': 'LOCATION', 'text': 'Bucharest'}, {'startOffset': 103, 'endOffset': 117, 'type': 'PERSON', 'text': 'Catalina Varga'}, {'startOffset': 235, 'endOffset': 241, 'type': 'LOCATION', 'text': 'Europe'}, {'startOffset': 295, 'endOffset': 299, 'type': 'PERSON', 'text': 'Anna'}, {'startOffset': 320, 'endOffset': 334, 'type': 'PERSON', 'text': 'Catalina Varga'}, {'startOffset': 429, 'endOffset': 443, 'type': 'LOCATION', 'text': 'Eastern Europe'}]","[{'text': 'She', 'type': 'PERSON', 'start_pos': 119, 'end_pos': 122}]",[],356.743709
True,1.0,1.0,1.0,4.0,0,0,"[{'text': 'Anna', 'type': 'PERSON', 'start_pos': 18, 'end_pos': 22}, {'text': 'ahargrove92@pm.me', 'type': 'EMAIL', 'start_pos': 74, 'end_pos': 91}, {'text': 'm.grant512@tuta.io', 'type': 'EMAIL', 'start_pos': 96, 'end_pos': 114}, {'text': 'Anna', 'type': 'PERSON', 'start_pos': 18, 'end_pos': 22}]","[{'startOffset': 18, 'endOffset': 22, 'type': 'PERSON', 'text': 'Anna'}, {'startOffset': 74, 'endOffset': 91, 'type': 'EMAIL', 'text': 'ahargrove92@pm.me'}, {'startOffset': 96, 'endOffset': 114, 'type': 'EMAIL', 'text': 'm.grant512@tuta.io'}, {'startOffset': 158, 'endOffset': 162, 'type': 'PERSON', 'text': 'Anna'}]",[],[],96.953497
True,1.0,1.0,1.0,8.0,0,0,"[{'text': 'Anna Hargrove', 'type': 'PERSON', 'start_pos': 5, 'end_pos': 18}, {'text': 'Brooklyn', 'type': 'LOCATION', 'start_pos': 103, 'end_pos': 111}, {'text': 'marcellus.grant@protonmail.com', 'type': 'EMAIL', 'start_pos': 233, 'end_pos': 263}, {'text': 'anna.h@techparadox.io', 'type': 'EMAIL', 'start_pos': 268, 'end_pos': 289}, {'text': 'Marcellus Grant', 'type': 'PERSON', 'start_pos': 343, 'end_pos': 358}, {'text': 'Anna', 'type': 'PERSON', 'start_pos': 5, 'end_pos': 9}, {'text': 'Prague', 'type': 'LOCATION', 'start_pos': 550, 'end_pos': 556}, {'text': 'm.grant512@tuta.io', 'type': 'EMAIL', 'start_pos': 751, 'end_pos': 769}]","[{'startOffset': 5, 'endOffset': 18, 'type': 'PERSON', 'text': 'Anna Hargrove'}, {'startOffset': 464, 'endOffset': 468, 'type': 'PERSON', 'text': 'Anna'}, {'startOffset': 102, 'endOffset': 110, 'type': 'LOCATION', 'text': 'Brooklyn'}, {'startOffset': 345, 'endOffset': 358, 'type': 'PERSON', 'text': 'Marcellus Grant'}, {'startOffset': 550, 'endOffset': 556, 'type': 'LOCATION', 'text': 'Prague'}, {'startOffset': 233, 'endOffset': 263, 'type': 'EMAIL', 'text': 'marcellus.grant@protonmail.com'}, {'startOffset': 268, 'endOffset': 289, 'type': 'EMAIL', 'text': 'anna.h@techparadox.io'}, {'startOffset': 751, 'endOffset': 769, 'type': 'EMAIL', 'text': 'm.grant512@tuta.io'}]",[],[],635.622341
True,1.0,0.625,0.7692307692307693,5.0,0,3,"[{'text': 'Marcellus', 'type': 'PERSON', 'start_pos': 0, 'end_pos': 9}, {'text': 'Anna', 'type': 'PERSON', 'start_pos': 20, 'end_pos': 24}, {'text': '8E7A3B9F2C1D4E6A7B8C9D0E1F2A3B4C5D6E7F8A9B0C1D2E3F4A5B6C7D8E9F0A', 'type': 'TOX', 'start_pos': 355, 'end_pos': 419}, {'text': 'Marcellus', 'type': 'PERSON', 'start_pos': 0, 'end_pos': 9}, {'text': 'Catalina', 'type': 'PERSON', 'start_pos': 555, 'end_pos': 563}]","[{'startOffset': 0, 'endOffset': 9, 'type': 'PERSON', 'text': 'Marcellus'}, {'startOffset': 20, 'endOffset': 24, 'type': 'PERSON', 'text': 'Anna'}, {'startOffset': 100, 'endOffset': 112, 'type': 'PERSON', 'text': 'Lance Moreno'}, {'startOffset': 206, 'endOffset': 220, 'type': 'IP', 'text': '185.220.101.47'}, {'startOffset': 225, 'endOffset': 239, 'type': 'IP', 'text': '192.168.15.203'}, {'startOffset': 355, 'endOffset': 419, 'type': 'TOX', 'text': '8E7A3B9F2C1D4E6A7B8C9D0E1F2A3B4C5D6E7F8A9B0C1D2E3F4A5B6C7D8E9F0A'}, {'startOffset': 486, 'endOffset': 495, 'type': 'PERSON', 'text': 'Marcellus'}, {'startOffset': 555, 'endOffset': 559, 'type': 'PERSON', 'text': 'Catalina'}]",[],"[{'startOffset': 100, 'endOffset': 112, 'type': 'PERSON', 'text': 'Lance Moreno'}, {'startOffset': 206, 'endOffset': 220, 'type': 'IP', 'text': '185.220.101.47'}, {'startOffset': 225, 'endOffset': 239, 'type': 'IP', 'text': '192.168.15.203'}]",334.956326
True,0.6666666666666666,0.5714285714285714,0.6153846153846153,4.0,2,3,"[{'text': 'darktruth2024@protonmail.com', 'type': 'EMAIL', 'start_pos': 67, 'end_pos': 95}, {'text': '203.0.113.42', 'type': 'IP', 'start_pos': 148, 'end_pos': 160}, {'text': 'https://secure-art-payments.com/checkout', 'type': 'WEB_RESOURCE', 'start_pos': 200, 'end_pos': 240}, {'text': '+1-555-867-5309', 'type': 'PHONE', 'start_pos': 320, 'end_pos': 335}, {'text': 'https://t.me/+whistleblower_backup_2024', 'type': 'WEB_RESOURCE', 'start_pos': 378, 'end_pos': 417}, {'text': 'Anna', 'type': 'PERSON', 'start_pos': 419, 'end_pos': 423}]","[{'startOffset': 67, 'endOffset': 95, 'type': 'EMAIL', 'text': 'darktruth2024@protonmail.com'}, {'startOffset': 148, 'endOffset': 160, 'type': 'IP', 'text': '203.0.113.42'}, {'startOffset': 200, 'endOffset': 240, 'type': 'URL', 'text': 'https://secure-art-payments.com/checkout'}, {'startOffset': 320, 'endOffset': 335, 'type': 'PHONE', 'text': '+1-555-867-5309'}, {'startOffset': 378, 'endOffset': 417, 'type': 'URL', 'text': 'https://t.me/+whistleblower_backup_2024'}, {'startOffset': 419, 'endOffset': 423, 'type': 'PERSON', 'text': 'Anna'}, {'startOffset': 473, 'endOffset': 485, 'type': 'IP', 'text': '203.0.113.42'}]","[{'text': 'https://secure-art-payments.com/checkout', 'type': 'WEB_RESOURCE', 'start_pos': 200, 'end_pos': 240}, {'text': 'https://t.me/+whistleblower_backup_2024', 'type': 'WEB_RESOURCE', 'start_pos': 378, 'end_pos': 417}]","[{'startOffset': 200, 'endOffset': 240, 'type': 'URL', 'text': 'https://secure-art-payments.com/checkout'}, {'startOffset': 378, 'endOffset': 417, 'type': 'URL', 'text': 'https://t.me/+whistleblower_backup_2024'}, {'startOffset': 473, 'endOffset': 485, 'type': 'IP', 'text': '203.0.113.42'}]",344.099205
