success,precision,recall,f1,tp,fp,fn,predicted_entities,gt_entities,fp_entities,fn_entities,elapsed_time
True,1.0,0.75,0.8571428571428571,3.0,0,1,"[{'text': 'ahargrove92@pm.me', 'type': 'EMAIL', 'start_pos': 74, 'end_pos': 91}, {'text': 'm.grant512@tuta.io', 'type': 'EMAIL', 'start_pos': 96, 'end_pos': 114}, {'text': 'Anna', 'type': 'PERSON', 'start_pos': 18, 'end_pos': 22}]","[{'startOffset': 18, 'endOffset': 22, 'type': 'PERSON', 'text': 'Anna'}, {'startOffset': 74, 'endOffset': 91, 'type': 'EMAIL', 'text': 'ahargrove92@pm.me'}, {'startOffset': 96, 'endOffset': 114, 'type': 'EMAIL', 'text': 'm.grant512@tuta.io'}, {'startOffset': 158, 'endOffset': 162, 'type': 'PERSON', 'text': 'Anna'}]",[],"[{'startOffset': 158, 'endOffset': 162, 'type': 'PERSON', 'text': 'Anna'}]",15.755857
True,0.7,0.875,0.7777777777777777,7.0,3,1,"[{'text': 'Anna Hargrove', 'type': 'PERSON', 'start_pos': 5, 'end_pos': 18}, {'text': 'Brooklyn', 'type': 'LOCATION', 'start_pos': 103, 'end_pos': 111}, {'text': 'marcellus.grant@protonmail.com', 'type': 'EMAIL', 'start_pos': 233, 'end_pos': 263}, {'text': 'anna.h@techparadox.io', 'type': 'EMAIL', 'start_pos': 268, 'end_pos': 289}, {'text': 'Marcellus', 'type': 'PERSON', 'start_pos': 233, 'end_pos': 242}, {'text': 'Anna', 'type': 'PERSON', 'start_pos': 5, 'end_pos': 9}, {'text': 'Prague', 'type': 'LOCATION', 'start_pos': 550, 'end_pos': 556}, {'text': 'Bitcoin', 'type': 'BTC', 'start_pos': 579, 'end_pos': 586}, {'text': 'M', 'type': 'PERSON', 'start_pos': 39, 'end_pos': 40}, {'text': 'm.grant512@tuta.io', 'type': 'EMAIL', 'start_pos': 751, 'end_pos': 769}]","[{'startOffset': 5, 'endOffset': 18, 'type': 'PERSON', 'text': 'Anna Hargrove'}, {'startOffset': 464, 'endOffset': 468, 'type': 'PERSON', 'text': 'Anna'}, {'startOffset': 102, 'endOffset': 110, 'type': 'LOCATION', 'text': 'Brooklyn'}, {'startOffset': 345, 'endOffset': 358, 'type': 'PERSON', 'text': 'Marcellus Grant'}, {'startOffset': 550, 'endOffset': 556, 'type': 'LOCATION', 'text': 'Prague'}, {'startOffset': 233, 'endOffset': 263, 'type': 'EMAIL', 'text': 'marcellus.grant@protonmail.com'}, {'startOffset': 268, 'endOffset': 289, 'type': 'EMAIL', 'text': 'anna.h@techparadox.io'}, {'startOffset': 751, 'endOffset': 769, 'type': 'EMAIL', 'text': 'm.grant512@tuta.io'}]","[{'text': 'Marcellus', 'type': 'PERSON', 'start_pos': 233, 'end_pos': 242}, {'text': 'Bitcoin', 'type': 'BTC', 'start_pos': 579, 'end_pos': 586}, {'text': 'M', 'type': 'PERSON', 'start_pos': 39, 'end_pos': 40}]","[{'startOffset': 345, 'endOffset': 358, 'type': 'PERSON', 'text': 'Marcellus Grant'}]",56.672545
True,1.0,0.5,0.6666666666666666,2.0,0,2,"[{'text': 'bc1q2gdf0hxk6e5nxp72cr9sv5uwx9a0gz0h3p9a4f', 'type': 'BTC', 'start_pos': 371, 'end_pos': 413}, {'text': 'Marcellus', 'type': 'PERSON', 'start_pos': 435, 'end_pos': 444}]","[{'startOffset': 49, 'endOffset': 53, 'type': 'PERSON', 'text': 'Anna'}, {'startOffset': 289, 'endOffset': 293, 'type': 'PERSON', 'text': 'Anna'}, {'startOffset': 371, 'endOffset': 413, 'type': 'BTC', 'text': 'bc1q2gdf0hxk6e5nxp72cr9sv5uwx9a0gz0h3p9a4f'}, {'startOffset': 435, 'endOffset': 444, 'type': 'PERSON', 'text': 'Marcellus'}]",[],"[{'startOffset': 49, 'endOffset': 53, 'type': 'PERSON', 'text': 'Anna'}, {'startOffset': 289, 'endOffset': 293, 'type': 'PERSON', 'text': 'Anna'}]",32.872055
True,0.625,0.8333333333333334,0.7142857142857143,5.0,3,1,"[{'text': 'Catalina', 'type': 'PERSON', 'start_pos': 0, 'end_pos': 8}, {'text': 'c.varga@journalisttruth.org', 'type': 'EMAIL', 'start_pos': 35, 'end_pos': 62}, {'text': 'cv.editor@riseup.net', 'type': 'EMAIL', 'start_pos': 63, 'end_pos': 83}, {'text': 'Anna', 'type': 'PERSON', 'start_pos': 84, 'end_pos': 88}, {'text': 'Catalina', 'type': 'PERSON', 'start_pos': 0, 'end_pos': 8}, {'text': 'Varga', 'type': 'PERSON', 'start_pos': 37, 'end_pos': 42}, {'text': 'Bitcoin', 'type': 'BTC', 'start_pos': 248, 'end_pos': 255}, {'text': 'A.H.', 'type': 'PERSON', 'start_pos': 345, 'end_pos': 349}]","[{'startOffset': 0, 'endOffset': 8, 'type': 'PERSON', 'text': 'Catalina'}, {'startOffset': 35, 'endOffset': 62, 'type': 'EMAIL', 'text': 'c.varga@journalisttruth.org'}, {'startOffset': 63, 'endOffset': 83, 'type': 'EMAIL', 'text': 'cv.editor@riseup.net'}, {'startOffset': 84, 'endOffset': 88, 'type': 'PERSON', 'text': 'Anna'}, {'startOffset': 144, 'endOffset': 150, 'type': 'LOCATION', 'text': 'Prague'}, {'startOffset': 164, 'endOffset': 169, 'type': 'PERSON', 'text': 'Varga'}]","[{'text': 'Catalina', 'type': 'PERSON', 'start_pos': 0, 'end_pos': 8}, {'text': 'Bitcoin', 'type': 'BTC', 'start_pos': 248, 'end_pos': 255}, {'text': 'A.H.', 'type': 'PERSON', 'start_pos': 345, 'end_pos': 349}]","[{'startOffset': 144, 'endOffset': 150, 'type': 'LOCATION', 'text': 'Prague'}]",32.371109
True,1.0,0.8333333333333334,0.9090909090909091,5.0,0,1,"[{'text': 'cv.editor@riseup.net', 'type': 'EMAIL', 'start_pos': 41, 'end_pos': 61}, {'text': 'bc1qt5vmgkz06c4q6z3trw8gkfj0y7n07gq5kzm68d', 'type': 'BTC', 'start_pos': 179, 'end_pos': 221}, {'text': 'Anna', 'type': 'PERSON', 'start_pos': 232, 'end_pos': 236}, {'text': 'Marcellus', 'type': 'PERSON', 'start_pos': 290, 'end_pos': 299}, {'text': 'bc1qxy2kgdygjrsqtzq2n0yrf2493p83kkfjhx0wlh', 'type': 'BTC', 'start_pos': 409, 'end_pos': 451}]","[{'startOffset': 41, 'endOffset': 61, 'type': 'EMAIL', 'text': 'cv.editor@riseup.net'}, {'startOffset': 179, 'endOffset': 221, 'type': 'BTC', 'text': 'bc1qt5vmgkz06c4q6z3trw8gkfj0y7n07gq5kzm68d'}, {'startOffset': 232, 'endOffset': 238, 'type': 'PERSON', 'text': 'Anna'}, {'startOffset': 269, 'endOffset': 273, 'type': 'PERSON', 'text': 'Anna'}, {'startOffset': 290, 'endOffset': 299, 'type': 'PERSON', 'text': 'Marcellus'}, {'startOffset': 409, 'endOffset': 451, 'type': 'BTC', 'text': 'bc1qxy2kgdygjrsqtzq2n0yrf2493p83kkfjhx0wlh'}]",[],"[{'startOffset': 269, 'endOffset': 273, 'type': 'PERSON', 'text': 'Anna'}]",111.470606
True,0.8888888888888888,0.8,0.8421052631578948,8.0,1,2,"[{'text': 'Catalina', 'type': 'PERSON', 'start_pos': 34, 'end_pos': 42}, {'text': 'Seychelles', 'type': 'LOCATION', 'start_pos': 192, 'end_pos': 202}, {'text': 'contact@unitedchange.org', 'type': 'EMAIL', 'start_pos': 430, 'end_pos': 454}, {'text': 'lance.morenopolitical@gmail.com', 'type': 'EMAIL', 'start_pos': 477, 'end_pos': 508}, {'text': 'Catalina', 'type': 'PERSON', 'start_pos': 34, 'end_pos': 42}, {'text': 'Lance', 'type': 'PERSON', 'start_pos': 477, 'end_pos': 482}, {'text': 'Catalina', 'type': 'PERSON', 'start_pos': 34, 'end_pos': 42}, {'text': 'Anna', 'type': 'PERSON', 'start_pos': 343, 'end_pos': 347}, {'text': 'Marcellus', 'type': 'PERSON', 'start_pos': 802, 'end_pos': 811}]","[{'startOffset': 33, 'endOffset': 41, 'type': 'PERSON', 'text': 'Catalina'}, {'startOffset': 191, 'endOffset': 201, 'type': 'LOCATION', 'text': 'Seychelles'}, {'startOffset': 342, 'endOffset': 346, 'type': 'PERSON', 'text': 'Anna'}, {'startOffset': 422, 'endOffset': 446, 'type': 'EMAIL', 'text': 'contact@unitedchange.org'}, {'startOffset': 469, 'endOffset': 500, 'type': 'EMAIL', 'text': 'lance.morenopolitical@gmail.com'}, {'startOffset': 579, 'endOffset': 587, 'type': 'PERSON', 'text': 'Catalina'}, {'startOffset': 661, 'endOffset': 673, 'type': 'PERSON', 'text': 'Lance Moreno'}, {'startOffset': 752, 'endOffset': 760, 'type': 'PERSON', 'text': 'Catalina'}, {'startOffset': 778, 'endOffset': 782, 'type': 'PERSON', 'text': 'Anna'}, {'startOffset': 793, 'endOffset': 802, 'type': 'PERSON', 'text': 'Marcellus'}]","[{'text': 'Lance', 'type': 'PERSON', 'start_pos': 477, 'end_pos': 482}]","[{'startOffset': 661, 'endOffset': 673, 'type': 'PERSON', 'text': 'Lance Moreno'}, {'startOffset': 778, 'endOffset': 782, 'type': 'PERSON', 'text': 'Anna'}]",45.99261
True,0.8,0.8,0.8000000000000002,4.0,1,1,"[{'text': 'Catalina', 'type': 'PERSON', 'start_pos': 132, 'end_pos': 140}, {'text': 'Marcellus', 'type': 'PERSON', 'start_pos': 252, 'end_pos': 261}, {'text': 'Anna', 'type': 'PERSON', 'start_pos': 266, 'end_pos': 270}, {'text': 'm.grant512@tuta.io', 'type': 'EMAIL', 'start_pos': 451, 'end_pos': 469}, {'text': 'M', 'type': 'PERSON', 'start_pos': 4, 'end_pos': 5}]","[{'startOffset': 132, 'endOffset': 140, 'type': 'PERSON', 'text': 'Catalina'}, {'startOffset': 252, 'endOffset': 261, 'type': 'PERSON', 'text': 'Marcellus'}, {'startOffset': 266, 'endOffset': 270, 'type': 'PERSON', 'text': 'Anna'}, {'startOffset': 431, 'endOffset': 435, 'type': 'PERSON', 'text': 'Anna'}, {'startOffset': 451, 'endOffset': 469, 'type': 'EMAIL', 'text': 'm.grant512@tuta.io'}]","[{'text': 'M', 'type': 'PERSON', 'start_pos': 4, 'end_pos': 5}]","[{'startOffset': 431, 'endOffset': 435, 'type': 'PERSON', 'text': 'Anna'}]",36.176739
True,0.7142857142857143,0.625,0.6666666666666666,5.0,2,3,"[{'text': 'm.grant512@tuta.io', 'type': 'EMAIL', 'start_pos': 6, 'end_pos': 24}, {'text': 'ahargrove92@pm.me', 'type': 'EMAIL', 'start_pos': 29, 'end_pos': 46}, {'text': 'Bucharest', 'type': 'LOCATION', 'start_pos': 92, 'end_pos': 101}, {'text': 'Catalina', 'type': 'PERSON', 'start_pos': 103, 'end_pos': 111}, {'text': 'Europe', 'type': 'LOCATION', 'start_pos': 235, 'end_pos': 241}, {'text': 'Anna', 'type': 'PERSON', 'start_pos': 295, 'end_pos': 299}, {'text': 'Catalina', 'type': 'PERSON', 'start_pos': 103, 'end_pos': 111}]","[{'startOffset': 6, 'endOffset': 24, 'type': 'EMAIL', 'text': 'm.grant512@tuta.io'}, {'startOffset': 29, 'endOffset': 46, 'type': 'EMAIL', 'text': 'ahargrove92@pm.me'}, {'startOffset': 92, 'endOffset': 101, 'type': 'LOCATION', 'text': 'Bucharest'}, {'startOffset': 103, 'endOffset': 117, 'type': 'PERSON', 'text': 'Catalina Varga'}, {'startOffset': 235, 'endOffset': 241, 'type': 'LOCATION', 'text': 'Europe'}, {'startOffset': 295, 'endOffset': 299, 'type': 'PERSON', 'text': 'Anna'}, {'startOffset': 320, 'endOffset': 334, 'type': 'PERSON', 'text': 'Catalina Varga'}, {'startOffset': 429, 'endOffset': 443, 'type': 'LOCATION', 'text': 'Eastern Europe'}]","[{'text': 'Catalina', 'type': 'PERSON', 'start_pos': 103, 'end_pos': 111}, {'text': 'Catalina', 'type': 'PERSON', 'start_pos': 103, 'end_pos': 111}]","[{'startOffset': 103, 'endOffset': 117, 'type': 'PERSON', 'text': 'Catalina Varga'}, {'startOffset': 320, 'endOffset': 334, 'type': 'PERSON', 'text': 'Catalina Varga'}, {'startOffset': 429, 'endOffset': 443, 'type': 'LOCATION', 'text': 'Eastern Europe'}]",109.181387
True,0.6666666666666666,0.4444444444444444,0.5333333333333333,4.0,2,5,"[{'text': 'hxxps[:]//anonfiles[.]io', 'type': 'URL', 'start_pos': 63, 'end_pos': 87}, {'text': '(202) 555-0147', 'type': 'PHONE', 'start_pos': 206, 'end_pos': 220}, {'text': 'cell towers', 'type': 'LOCATION', 'start_pos': 283, 'end_pos': 294}, {'text': '91[.]198[.]174[.]192', 'type': 'IP', 'start_pos': 396, 'end_pos': 416}, {'text': '56A1ADE4B65B86BCD51CC73E2CD4E542179F47959FE3E0E21B4B0ACDADE51855D34D34D37CB5', 'type': 'TOX', 'start_pos': 515, 'end_pos': 591}, {'text': 'cleanup.operations[at]securemail.ch', 'type': 'EMAIL', 'start_pos': 719, 'end_pos': 754}]","[{'startOffset': 63, 'endOffset': 114, 'type': 'URL', 'text': 'hxxps[:]//anonfiles[.]io/evidence/moreno-case-final'}, {'startOffset': 116, 'endOffset': 120, 'type': 'PERSON', 'text': 'Anna'}, {'startOffset': 125, 'endOffset': 134, 'type': 'PERSON', 'text': 'Marcellus'}, {'startOffset': 151, 'endOffset': 163, 'type': 'PERSON', 'text': 'Lance Moreno'}, {'startOffset': 206, 'endOffset': 220, 'type': 'PHONE', 'text': '(202) 555-0147'}, {'startOffset': 396, 'endOffset': 432, 'type': 'IP', 'text': '91[.]198[.]174[.]192'}, {'startOffset': 515, 'endOffset': 591, 'type': 'TOX', 'text': '56A1ADE4B65B86BCD51CC73E2CD4E542179F47959FE3E0E21B4B0ACDADE51855D34D34D37CB5'}, {'startOffset': 721, 'endOffset': 756, 'type': 'EMAIL', 'text': 'cleanup.operations[at]securemail.ch'}, {'startOffset': 758, 'endOffset': 767, 'type': 'PERSON', 'text': 'Marcellus'}]","[{'text': 'hxxps[:]//anonfiles[.]io', 'type': 'URL', 'start_pos': 63, 'end_pos': 87}, {'text': 'cell towers', 'type': 'LOCATION', 'start_pos': 283, 'end_pos': 294}]","[{'startOffset': 63, 'endOffset': 114, 'type': 'URL', 'text': 'hxxps[:]//anonfiles[.]io/evidence/moreno-case-final'}, {'startOffset': 116, 'endOffset': 120, 'type': 'PERSON', 'text': 'Anna'}, {'startOffset': 125, 'endOffset': 134, 'type': 'PERSON', 'text': 'Marcellus'}, {'startOffset': 151, 'endOffset': 163, 'type': 'PERSON', 'text': 'Lance Moreno'}, {'startOffset': 758, 'endOffset': 767, 'type': 'PERSON', 'text': 'Marcellus'}]",52.678612
True,0.6666666666666666,0.6666666666666666,0.6666666666666666,4.0,2,2,"[{'text': '+420 775 123 456', 'type': 'PHONE', 'start_pos': 230, 'end_pos': 246}, {'text': 'Anna', 'type': 'PERSON', 'start_pos': 35, 'end_pos': 39}, {'text': 'Czech', 'type': 'LOCATION', 'start_pos': 274, 'end_pos': 279}, {'text': 'http://darkmatter7x4j3k.onion/forum/politics', 'type': 'URL', 'start_pos': 397, 'end_pos': 441}, {'text': 'whistleblower-archive.net', 'type': 'URL', 'start_pos': 566, 'end_pos': 591}, {'text': 'Anna', 'type': 'PERSON', 'start_pos': 35, 'end_pos': 39}]","[{'startOffset': 35, 'endOffset': 39, 'type': 'PERSON', 'text': 'Anna'}, {'startOffset': 230, 'endOffset': 246, 'type': 'PHONE', 'text': '+420 775 123 456'}, {'startOffset': 248, 'endOffset': 252, 'type': 'PERSON', 'text': 'Anna'}, {'startOffset': 397, 'endOffset': 441, 'type': 'URL', 'text': 'http://darkmatter7x4j3k.onion/forum/politics'}, {'startOffset': 558, 'endOffset': 604, 'type': 'URL', 'text': 'https://whistleblower-archive.net/case-2024-lm'}, {'startOffset': 606, 'endOffset': 610, 'type': 'PERSON', 'text': 'Anna'}]","[{'text': 'Czech', 'type': 'LOCATION', 'start_pos': 274, 'end_pos': 279}, {'text': 'whistleblower-archive.net', 'type': 'URL', 'start_pos': 566, 'end_pos': 591}]","[{'startOffset': 558, 'endOffset': 604, 'type': 'URL', 'text': 'https://whistleblower-archive.net/case-2024-lm'}, {'startOffset': 606, 'endOffset': 610, 'type': 'PERSON', 'text': 'Anna'}]",40.788378
